project,description,version,developers,url,year,licenses,license urls,dependency
Android AppCompat Library v7,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 4 or later.,25.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2011,The Apache Software License,http://www.apache.org/licenses/LICENSE-2.0.txt,com.android.support:appcompat-v7:25.0.0
Android Design Support Library,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 4 or later.,25.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2015,The Apache Software License,http://www.apache.org/licenses/LICENSE-2.0.txt,com.android.support:design:25.0.0
Android Support AnimatedVectorDrawable,Android Support AnimatedVectorDrawable,25.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2015,The Apache Software License,http://www.apache.org/licenses/LICENSE-2.0.txt,com.android.support:animated-vector-drawable:25.0.0
Android Support Library Annotations,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs.,25.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2013,The Apache Software License,http://www.apache.org/licenses/LICENSE-2.0.txt,com.android.support:support-annotations:25.0.0
Android Support Library compat,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 4 or later.,25.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2015,The Apache Software License,http://www.apache.org/licenses/LICENSE-2.0.txt,com.android.support:support-compat:25.0.0
Android Support Library v13,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 4 or later.,25.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2011,The Apache Software License,http://www.apache.org/licenses/LICENSE-2.0.txt,com.android.support:support-v13:25.0.0
Android Support Library v4,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 4 or later.,25.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2011,The Apache Software License,http://www.apache.org/licenses/LICENSE-2.0.txt,com.android.support:support-core-ui:25.0.0
Android Support Library v4,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 4 or later.,25.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2011,The Apache Software License,http://www.apache.org/licenses/LICENSE-2.0.txt,com.android.support:support-v4:25.0.0
Android Support Library v4,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 4 or later.,25.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2011,The Apache Software License,http://www.apache.org/licenses/LICENSE-2.0.txt,com.android.support:support-core-utils:25.0.0
Android Support Library v4,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 4 or later.,25.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2011,The Apache Software License,http://www.apache.org/licenses/LICENSE-2.0.txt,com.android.support:support-fragment:25.0.0
Android Support Library v4,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 4 or later.,25.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2011,The Apache Software License,http://www.apache.org/licenses/LICENSE-2.0.txt,com.android.support:support-media-compat:25.0.0
Android Support RecyclerView v7,Android Support RecyclerView v7,25.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2014,The Apache Software License,http://www.apache.org/licenses/LICENSE-2.0.txt,com.android.support:recyclerview-v7:25.0.0
Android Support VectorDrawable,Android Support VectorDrawable,25.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2015,The Apache Software License,http://www.apache.org/licenses/LICENSE-2.0.txt,com.android.support:support-vector-drawable:25.0.0
Android Transition Support Library,Android Transition Support Library,25.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2016,The Apache Software License,http://www.apache.org/licenses/LICENSE-2.0.txt,com.android.support:transition:25.0.0
IntelliJ IDEA Annotations,A set of annotations used for code inspection support and code documentation.,13.0,JetBrains Team,http://www.jetbrains.org,null,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,org.jetbrains:annotations:13.0
Kotlin Stdlib,Kotlin Standard Library for JVM,1.4.30,Kotlin Team,https://kotlinlang.org/,null,The Apache License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,org.jetbrains.kotlin:kotlin-stdlib:1.4.30
Kotlin Stdlib Common,Kotlin Common Standard Library,1.4.30,Kotlin Team,https://kotlinlang.org/,null,The Apache License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,org.jetbrains.kotlin:kotlin-stdlib-common:1.4.30